Source,Target,Weight,edge_name,edge_color,travel_seconds
39,50,0.004048583,2,ED1C24,247
185,186,0.0018761726,9,A60084,533
210,205,0.0031545741,12,A49800,317
213,214,0.0028571429,12,A49800,350
103,202,0.0033222591,10,005AA9,301
73,72,0.0038314176,4,B65518,261
275,276,0.0025839793,10,005AA9,387
292,296,0.0025773196,7,EE7518,388
53,52,0.0048780488,3,FFD000,205
16,17,0.0032786885,1,2DBEF0,305
269,270,0.0033670034,3,FFD000,297
18,111,0.0037878788,6,98989B,264
111,18,0.0035842294,6,98989B,279
225,224,0.0028985507,12,A49800,345
284,283,0.003257329,10,005AA9,307
30,62,0.0041493776,4,B65518,241
67,66,0.003968254,4,B65518,252
41,143,0.0044642857,7,EE7518,224
34,12,0.005,2,ED1C24,200
49,36,0.0042016807,5,8FD400,238
74,75,0.0031948882,5,8FD400,313
69,70,0.0027855153,4,B65518,359
32,31,0.0043859649,2,ED1C24,228
280,279,0.0036630037,10,005AA9,273
96,105,0.0021598272,6,98989B,463
105,96,0.0020920502,6,98989B,478
212,213,0.0021321962,12,A49800,469
6,5,0.0038022814,1,2DBEF0,263
64,83,0.0036101083,9,A60084,277
28,80,0.0037313433,5,8FD400,268
127,197,0.0038910506,10,005AA9,257
6,41,0.0039370079,2,ED1C24,254
124,123,0.0041322314,6,98989B,242
123,124,0.0038910506,6,98989B,257
39,40,0.0052356021,2,ED1C24,191
203,257,0.0037878788,10,005AA9,264
260,322,0.0033333333,2,ED1C24,300
225,226,0.0028089888,12,A49800,356
268,269,0.0043859649,3,FFD000,228
260,28,0.0028089888,2,ED1C24,356
262,261,0.002617801,1,2DBEF0,382
108,107,0.0041152263,6,98989B,243
107,108,0.003875969,6,98989B,258
180,179,0.002739726,9,A60084,365
277,276,0.0036630037,10,005AA9,273
40,41,0.0039215686,2,ED1C24,255
65,66,0.0034722222,4,B65518,288
291,292,0.0024570025,7,EE7518,407
84,83,0.0037878788,5,8FD400,264
30,29,0.0041322314,2,ED1C24,242
27,26,0.0031347962,1,2DBEF0,319
17,18,0.0035971223,1,2DBEF0,278
262,263,0.0025773196,1,2DBEF0,388
191,192,0.0041152263,10,005AA9,243
142,64,0.0033333333,7,EE7518,300
13,12,0.0033333333,1,2DBEF0,300
6,7,0.0036363636,1,2DBEF0,275
274,187,0.0044444444,10,005AA9,225
220,221,0.0032154341,12,A49800,311
58,57,0.0047393365,4,B65518,211
97,98,0.0038610039,5,8FD400,259
148,147,0.0031847134,7,EE7518,314
223,222,0.0020833333,12,A49800,480
235,234,0.0029585799,12,A49800,338
28,63,0.0033670034,5,8FD400,297
75,76,0.0035714286,5,8FD400,280
293,294,0.004,1,2DBEF0,250
34,33,0.0046082949,2,ED1C24,217
173,31,0.0034965035,9,A60084,286
152,151,0.0040160643,7,EE7518,249
13,14,0.0036900369,1,2DBEF0,271
129,128,0.0034843206,6,98989B,287
128,129,0.0033112583,6,98989B,302
256,305,0.0021978022,11,009B3A,455
212,211,0.002617801,12,A49800,382
1,191,0.0039370079,10,005AA9,254
45,44,0.004587156,3,FFD000,218
132,286,0.004587156,7,EE7518,218
255,254,0.0030487805,11,009B3A,328
166,165,0.0035714286,9,A60084,280
27,293,0.0032051282,1,2DBEF0,312
15,16,0.0041152263,1,2DBEF0,243
67,68,0.0036630037,4,B65518,273
36,90,0.0035714286,5,8FD400,280
138,139,0.0035714286,7,EE7518,280
220,219,0.0032258065,12,A49800,310
93,94,0.0035842294,5,8FD400,279
223,224,0.003030303,12,A49800,330
197,10,0.0043668122,10,005AA9,229
86,11,0.0041841004,5,8FD400,239
64,63,0.0042918455,4,B65518,233
168,169,0.0036363636,9,A60084,275
49,197,0.0043668122,3,FFD000,229
271,270,0.0032154341,3,FFD000,311
3,2,0.0035460993,1,2DBEF0,282
63,29,0.004,6,98989B,250
29,63,0.0037735849,6,98989B,265
79,78,0.0040983607,5,8FD400,244
4,5,0.0035971223,1,2DBEF0,278
19,20,0.0037313433,1,2DBEF0,268
156,166,0.003649635,9,A60084,274
326,161,0.003125,9,A60084,320
256,255,0.0032679739,11,009B3A,306
142,57,0.0035211268,10,005AA9,284
142,143,0.0041322314,7,EE7518,242
229,228,0.0031545741,12,A49800,317
135,136,0.0038167939,7,EE7518,262
289,290,0.0022026432,7,EE7518,454
215,216,0.0030120482,12,A49800,332
163,162,0.0031545741,9,A60084,317
71,158,0.0028735632,8,EC82B1,348
286,287,0.0016447368,7,EE7518,608
182,183,0.0015243902,9,A60084,656
