Source,Target,Type,Weight,edge_name,edge_color,travel_seconds
39,50,Undirected,0.004048582995951417,2,#ED1C24,247
185,186,Undirected,0.001876172607879925,9,#A60084,533
210,205,Undirected,0.0031545741324921135,12,#A49800,317
213,214,Undirected,0.002857142857142857,12,#A49800,350
103,202,Undirected,0.0033222591362126247,10,#005AA9,301
73,72,Undirected,0.0038314176245210726,4,#B65518,261
275,276,Undirected,0.002583979328165375,10,#005AA9,387
292,296,Undirected,0.002577319587628866,7,#EE7518,388
53,52,Undirected,0.004878048780487805,3,#FFD000,205
16,17,Undirected,0.003278688524590164,1,#2DBEF0,305
269,270,Undirected,0.003367003367003367,3,#FFD000,297
18,111,Directed,0.003787878787878788,6,#98989B,264
111,18,Directed,0.0035842293906810036,6,#98989B,279
225,224,Undirected,0.002898550724637681,12,#A49800,345
284,283,Undirected,0.003257328990228013,10,#005AA9,307
30,62,Undirected,0.004149377593360996,4,#B65518,241
67,66,Undirected,0.003968253968253968,4,#B65518,252
41,143,Undirected,0.004464285714285714,7,#EE7518,224
34,12,Undirected,0.005,2,#ED1C24,200
49,36,Undirected,0.004201680672268907,5,#8FD400,238
74,75,Undirected,0.003194888178913738,5,#8FD400,313
69,70,Undirected,0.002785515320334262,4,#B65518,359
32,31,Undirected,0.0043859649122807015,2,#ED1C24,228
280,279,Undirected,0.003663003663003663,10,#005AA9,273
96,105,Directed,0.0021598272138228943,6,#98989B,463
105,96,Directed,0.0020920502092050207,6,#98989B,478
212,213,Undirected,0.0021321961620469083,12,#A49800,469
6,5,Undirected,0.0038022813688212928,1,#2DBEF0,263
64,83,Undirected,0.0036101083032490976,9,#A60084,277
28,80,Undirected,0.0037313432835820895,5,#8FD400,268
127,197,Undirected,0.0038910505836575876,10,#005AA9,257
6,41,Undirected,0.003937007874015748,2,#ED1C24,254
124,123,Directed,0.004132231404958678,6,#98989B,242
123,124,Directed,0.0038910505836575876,6,#98989B,257
39,40,Undirected,0.005235602094240838,2,#ED1C24,191
203,257,Undirected,0.003787878787878788,10,#005AA9,264
260,322,Undirected,0.0033333333333333335,2,#ED1C24,300
225,226,Undirected,0.0028089887640449437,12,#A49800,356
268,269,Undirected,0.0043859649122807015,3,#FFD000,228
260,28,Undirected,0.0028089887640449437,2,#ED1C24,356
262,261,Undirected,0.002617801047120419,1,#2DBEF0,382
108,107,Directed,0.00411522633744856,6,#98989B,243
107,108,Directed,0.003875968992248062,6,#98989B,258
180,179,Undirected,0.0027397260273972603,9,#A60084,365
277,276,Undirected,0.003663003663003663,10,#005AA9,273
