Source,Target,Type,Weight,edge_name,edge_color,travel_seconds,longitude_Source,latitude_Source,longitude_Target,latitude_Target,distance_meters,speed_ms
39,50,Undirected,0.004048582995951417,2,#ED1C24,247,-3.70557,40.430009999999996,-3.7074199999999995,40.42484,595.1695167213638,2.4095931851067363
185,186,Undirected,0.001876172607879925,9,#A60084,533,-3.47745,40.31902,-3.44752,40.303670000000004,3062.3757203955797,5.745545441642738
210,205,Undirected,0.003154574132492113,12,#A49800,317,-3.8212,40.34969,-3.8121099999999997,40.345240000000004,916.8352682805719,2.8922248210743593
213,214,Undirected,0.002857142857142857,12,#A49800,350,-3.87218,40.33512,-3.86354,40.3285,1038.959886229321,2.96845681779806
103,202,Undirected,0.003322259136212625,10,#005AA9,301,-3.7610099999999997,40.403240000000004,-3.7746199999999996,40.39698,1348.3860275285208,4.479687799098076
73,72,Undirected,0.0038314176245210726,4,#B65518,261,-3.6452400000000003,40.477109999999996,-3.6395800000000005,40.474470000000004,562.4054281572227,2.154810069567903
275,276,Undirected,0.002583979328165375,10,#005AA9,387,-3.69575,40.50525,-3.6694400000000003,40.50833,2256.090029409819,5.829689998474985
292,296,Undirected,0.002577319587628866,7,#EE7518,388,-3.5271800000000004,40.417770000000004,-3.53453,40.417609999999996,624.0568553970747,1.6083939572089556
53,52,Undirected,0.004878048780487805,3,#FFD000,205,-3.71945,40.43502,-3.71596,40.430659999999996,567.533392929798,2.768455575267307
16,17,Undirected,0.003278688524590164,1,#2DBEF0,305,-3.6893800000000003,40.40659,-3.6809800000000004,40.40445,751.6014078071349,2.4642669108430653
269,270,Undirected,0.0033670033670033673,3,#FFD000,297,-3.6941800000000002,40.36999,-3.69363,40.359590000000004,1155.7776644105545,3.8915072875776247
18,111,Directed,0.0037878787878787884,6,#98989B,264,-3.6751400000000003,40.40126,-3.67814,40.395379999999996,700.8432629289852,2.654709329276459
111,18,Directed,0.003584229390681004,6,#98989B,279,-3.67814,40.395379999999996,-3.6751400000000003,40.40126,700.8432629289852,2.5119830212508427
225,224,Undirected,0.0028985507246376808,12,#A49800,345,-3.73664,40.30081,-3.7457599999999998,40.293240000000004,1143.6009950744017,3.31478549296928
284,283,Undirected,0.0032573289902280127,10,#005AA9,307,-3.61145,40.55977,-3.6234,40.55037,1453.9642938698953,4.736040045178812
30,62,Undirected,0.004149377593360996,4,#B65518,241,-3.67591,40.42455,-3.67541,40.42917,514.769572745834,2.1359733308955766
67,66,Undirected,0.003968253968253968,4,#B65518,252,-3.6611800000000003,40.453540000000004,-3.66791,40.44825,819.1405379171723,3.250557690147509
41,143,Undirected,0.004464285714285714,7,#EE7518,224,-3.70433,40.43841,-3.69925,40.43838,431.02677249794345,1.9242266629372475
34,12,Undirected,0.005,2,#ED1C24,200,-3.69925,40.41805,-3.7032599999999998,40.41688,364.2898155333707,1.8214490776668535
49,36,Undirected,0.004201680672268907,5,#8FD400,238,-3.70566,40.42014,-3.7094199999999997,40.41809,391.98159794798846,1.6469815039831448
74,75,Undirected,0.003194888178913738,5,#8FD400,313,-3.60816,40.44942,-3.61699,40.443740000000005,979.262289139215,3.128633511626885
69,70,Undirected,0.0027855153203342623,4,#B65518,359,-3.6458199999999996,40.45945,-3.6356,40.463809999999995,992.863412074402,2.765636245332596
32,31,Undirected,0.0043859649122807015,2,#ED1C24,228,-3.68624,40.42031,-3.6801199999999996,40.422940000000004,595.8576983494155,2.613410957672875
280,279,Undirected,0.0036630036630036634,10,#005AA9,273,-3.6373800000000003,40.54102,-3.63556,40.53196,1017.8149049665901,3.728259725152345
96,105,Directed,0.0021598272138228947,6,#98989B,463,-3.7313199999999997,40.388459999999995,-3.74099,40.3927,946.450225408382,2.044168953365836
105,96,Directed,0.0020920502092050207,6,#98989B,478,-3.74099,40.3927,-3.7313199999999997,40.388459999999995,946.450225408382,1.9800213920677447
212,213,Undirected,0.0021321961620469087,12,#A49800,469,-3.84934,40.345890000000004,-3.87218,40.33512,2279.566278076658,4.860482469246605
6,5,Undirected,0.0038022813688212928,1,#2DBEF0,263,-3.7039699999999995,40.44697,-3.7033099999999997,40.45033,377.2829569512162,1.4345359579894152
64,83,Undirected,0.0036101083032490976,9,#A60084,277,-3.6766400000000004,40.43803,-3.68258,40.43278,770.6360772819181,2.7820797013787657
28,80,Undirected,0.00373134328358209,5,#8FD400,268,-3.6636599999999997,40.43088,-3.6575699999999998,40.43189,528.7916286794416,1.9731030920874686
127,197,Undirected,0.0038910505836575885,10,#005AA9,257,-3.7203199999999996,40.42107,-3.7112,40.42342,816.7806812373578,3.1781349464488633
6,41,Undirected,0.003937007874015748,2,#ED1C24,254,-3.7039699999999995,40.44697,-3.70433,40.43841,951.0199440660884,3.7441730081342066
124,123,Directed,0.004132231404958678,6,#98989B,242,-3.72678,40.44356,-3.7194300000000005,40.44644,700.7791749570789,2.895781714698673
123,124,Directed,0.0038910505836575885,6,#98989B,257,-3.7194300000000005,40.44644,-3.72678,40.44356,700.7791749570789,2.7267672177318247
39,40,Undirected,0.005235602094240838,2,#ED1C24,191,-3.70557,40.430009999999996,-3.70433,40.43322,371.6531023171588,1.945827760822821
203,257,Undirected,0.0037878787878787884,10,#005AA9,264,-3.79152,40.37771,-3.7839199999999997,40.38364,922.010470514688,3.4924639034647273
260,322,Undirected,0.0033333333333333327,2,#ED1C24,300,-3.6505199999999998,40.42662,-3.6391400000000003,40.42361,1021.9334855221425,3.406444951740475
225,226,Undirected,0.002808988764044944,12,#A49800,356,-3.73664,40.30081,-3.73403,40.30993,1036.7118556251078,2.9121119540031115
268,269,Undirected,0.0043859649122807015,3,#FFD000,228,-3.69585,40.375029999999995,-3.6941800000000002,40.36999,577.3426745715802,2.532204713033247
260,28,Undirected,0.002808988764044944,2,#ED1C24,356,-3.6505199999999998,40.42662,-3.6636599999999997,40.43088,1211.2193319256332,3.402301494173127
262,261,Undirected,0.002617801047120419,1,#2DBEF0,382,-3.67637,40.476820000000004,-3.6825900000000003,40.47203,749.0838997332221,1.9609526171026757
108,107,Directed,0.00411522633744856,6,#98989B,243,-3.7183699999999997,40.3846,-3.7231300000000003,40.3869,478.10830699546216,1.9675238971006672
107,108,Directed,0.0038759689922480615,6,#98989B,258,-3.7231300000000003,40.3869,-3.7183699999999997,40.3846,478.10830699546216,1.8531329728506285
180,179,Undirected,0.0027397260273972607,9,#A60084,365,-3.60886,40.40422,-3.6215599999999997,40.40005,1173.3459762496693,3.2146465102730666
277,276,Undirected,0.0036630036630036634,10,#005AA9,273,-3.6627699999999996,40.51553,-3.6694400000000003,40.50833,979.1821680493719,3.586747868312717
40,41,Undirected,0.0039215686274509795,2,#ED1C24,255,-3.70433,40.43322,-3.70433,40.43841,576.3132696020884,2.2600520376552486
65,66,Undirected,0.003472222222222222,4,#B65518,288,-3.6748199999999995,40.44419,-3.66791,40.44825,739.5255224767766,2.567796953044363
291,292,Undirected,0.002457002457002457,7,#EE7518,407,-3.52549,40.42295,-3.5271800000000004,40.417770000000004,592.8134411101499,1.4565440813517196
84,83,Undirected,0.0037878787878787884,5,#8FD400,264,-3.68954,40.43316,-3.68258,40.43278,592.0759892592291,2.242712080527383
30,29,Undirected,0.004132231404958678,2,#ED1C24,242,-3.67591,40.42455,-3.66926,40.4279,675.898839369363,2.7929704106172024
27,26,Undirected,0.003134796238244514,1,#2DBEF0,319,-3.61884,40.37238,-3.6213,40.3796,828.4943643258234,2.597161016695371
17,18,Undirected,0.0035971223021582736,1,#2DBEF0,278,-3.6809800000000004,40.40445,-3.6751400000000003,40.40126,609.3033799734543,2.191738776882929
262,263,Undirected,0.002577319587628866,1,#2DBEF0,388,-3.67637,40.476820000000004,-3.6668,40.480140000000006,891.3051614661408,2.297178251201394
191,192,Undirected,0.00411522633744856,10,#005AA9,243,-3.68985,40.458420000000004,-3.69038,40.45159,759.7576244141803,3.1265745860665857
