Label,Id,longitude,latitude
VILLAVERDE ALTO,273,-3.71199,40.34123
AEROPUERTO T4,285,-3.59325,40.49177
PLAZA DE CASTILLA,1,-3.68917,40.4669
RETIRO,32,-3.68624,40.42031
ALVARADO,5,-3.70331,40.45033
JULIAN BESTEIRO,232,-3.75266,40.33475
TORRE ARIAS,75,-3.61699,40.44374
SIERRA DE GUADALUPE,25,-3.62472,40.38216
PARQUE EUROPA,220,-3.80632,40.28518
HERRERA ORIA,161,-3.70751,40.48466
CIUDAD DE LOS ANGELES,270,-3.69363,40.35959
PRADILLO,215,-3.86489,40.32168
NOVICIADO,50,-3.70742,40.42484
VENTURA RODRIGUEZ,51,-3.71341,40.42709
PINAR DE CHAMARTIN,263,-3.6668,40.48014
AVIACION ESPAÑOLA,257,-3.78392,40.38364
EL CAPRICHO,253,-3.59401,40.45347
TRES OLIVOS,274,-3.6952,40.5012
VALDECARROS,295,-3.59316,40.36007
PUERTA DEL SUR,205,-3.81211,40.34524
SERRANO,59,-3.68663,40.42543
ANTON MARTIN,14,-3.69937,40.41246
PUERTA DE ARGANDA,182,-3.59598,40.40132
ACACIAS,92,-3.70664,40.40387
BARRIO DE LA CONCEPCION,138,-3.652,40.4391
CUZCO,191,-3.68985,40.45842
CONSERVATORIO,224,-3.74576,40.29324
CUATRO VIENTOS,203,-3.79152,40.37771
EL CARMEN,80,-3.65757,40.43189
OPERA,36,-3.70942,40.41809
RIOS ROSAS,7,-3.70133,40.44198
EUGENIA DE MONTIJO,99,-3.75121,40.38439
HOSPITAL DE FUENLABRADA,219,-3.81642,40.28576
ALSACIA,323,-3.62351,40.41829
LA FORTUNA,305,-3.77783,40.35795
SAN BERNARDO,39,-3.70557,40.43001
PORTAZGO,21,-3.65868,40.39266
LA RAMBLA,289,-3.54792,40.42514
PUERTA DEL ANGEL,128,-3.72724,40.4139
PAVONES,178,-3.63512,40.40051
VELAZQUEZ,60,-3.68292,40.42503
SIMANCAS,134,-3.62572,40.42799
OPAÑEL,107,-3.72313,40.3869
MONTECARMELO,275,-3.69575,40.50525
PARQUE OESTE,212,-3.84934,40.34589
CONCHA ESPINA,168,-3.67738,40.45145
FUENCARRAL,187,-3.69283,40.49509
SAN CIPRIANO,181,-3.60239,40.40381
LISTA,62,-3.67541,40.42917
LA LATINA,90,-3.70816,40.41128
LAS MUSAS,132,-3.60788,40.43299
BUENOS AIRES,22,-3.65391,40.39156
MENENDEZ PELAYO,17,-3.68098,40.40445
PAN BENDITO,208,-3.73417,40.37587
VALDEACEDERAS,2,-3.69506,40.46442
MARQUES DE LA VALDAVIA,280,-3.63738,40.54102
SEVILLA,34,-3.69925,40.41805
CAMPAMENTO,102,-3.76813,40.39481
AVDA. DE LA ILUSTRACION,151,-3.7184,40.4801
SUANZES,76,-3.62684,40.44085
ALTO DE EXTREMADURA,129,-3.73894,40.40993
METROPOLITANO,123,-3.71943,40.44644
VISTA ALEGRE,97,-3.73982,40.38885
ALMENDRALES,267,-3.69788,40.38409
TETUAN,3,-3.69825,40.46055
CASA DEL RELOJ,233,-3.75942,40.3266
GOYA,30,-3.67591,40.42455
CARTAGENA,140,-3.67215,40.43934
TIRSO DE MOLINA,13,-3.70466,40.41235
LUCERO,130,-3.74534,40.4051
CANILLEJAS,74,-3.60816,40.44942
BEGOÑA,188,-3.68585,40.48041
LOS ESPARTALES,229,-3.7182,40.32423
QUEVEDO,40,-3.70433,40.43322
MANUEL BECERRA,29,-3.66926,40.4279
REPUBLICA ARGENTINA,119,-3.68406,40.44379
IBIZA,173,-3.67858,40.41839
MIGUEL HERNANDEZ,24,-3.63951,40.38732
DUQUE DE PASTRANA,165,-3.67917,40.46763
MIRASIERRA,326,-3.71634,40.4911
PUEBLO NUEVO,78,-3.64282,40.43569
VENTILLA,163,-3.69588,40.46944
NUÑEZ DE BALBOA,83,-3.68258,40.43278
CARPETANA,105,-3.74099,40.3927
HORTALEZA,264,-3.65257,40.47537
EL BERCIAL,230,-3.72963,40.32907
SAN FRANCISCO,254,-3.7391,40.3736
BAUNATAL,282,-3.63513,40.55442
VALDEZARZA,148,-3.71597,40.46482
BANCO DE ESPAÑA,33,-3.69497,40.41922
CIUDAD UNIVERSITARIA,124,-3.72678,40.44356
LEGAZPI,43,-3.69511,40.39116
SAN FERMIN-ORCASUR,269,-3.69418,40.36999
PINAR DEL REY,258,-3.64867,40.468
BAMBU,262,-3.67637,40.47682
ALAMEDA DE OSUNA,252,-3.58752,40.45779
FERIA DE MADRID,158,-3.6162,40.46389
NUEVOS MINISTERIOS,120,-3.69241,40.44662
ALCORCON CENTRAL,211,-3.83178,40.35008
ARTURO SORIA,68,-3.65618,40.45583
LAGO,199,-3.73563,40.41641
COLONIA JARDIN,202,-3.77462,40.39698
SAINZ DE BARANDA,114,-3.66951,40.41507
ESTADIO METROPOLITANO,286,-3.60015,40.43339
PIRAMIDES,93,-3.71138,40.4026
ARROYO CULEBRO,223,-3.75682,40.28874
PRINCIPE DE VERGARA,31,-3.68012,40.42294
GRAN VIA,11,-3.7018,40.42001
VICALVARO,180,-3.60886,40.40422
ESTRECHO,4,-3.70302,40.45429
COLOMBIA,156,-3.67682,40.45634
VENTAS,28,-3.66366,40.43088
MOSTOLES CENTRAL,214,-3.86354,40.3285
LAS TABLAS,276,-3.66944,40.50833
VILLA DE VALLECAS,26,-3.6213,40.3796
FUENLABRADA CENTRAL,221,-3.79891,40.28268
MANUEL DE FALLA,281,-3.64688,40.55048
PROSPERIDAD,65,-3.67482,40.44419
URGEL,95,-3.7236,40.39335
ARTILLEROS,177,-3.64181,40.40522
PARQUE DE LOS ESTADOS,222,-3.78697,40.28684
ARGANZUELA-PLANETARIO,259,-3.68864,40.3931
AVENIDA DE LA PAZ,67,-3.66118,40.45354
ARGANDA DEL REY,186,-3.44752,40.30367
GUZMAN EL BUENO,122,-3.71229,40.44637
ESTRELLA,175,-3.66179,40.41147
ARGÜELLES,52,-3.71596,40.43066
CANAL,41,-3.70433,40.43841
BARRIO DEL PUERTO,287,-3.56919,40.4225
PLAZA DE ESPAÑA,197,-3.7112,40.42342
SOL,12,-3.70326,40.41688
LAVAPIES,47,-3.7009,40.40851
UNIVERSIDAD REY JUAN CARLOS,213,-3.87218,40.33512
LA MORALEJA,279,-3.63556,40.53196
LORANCA,218,-3.83768,40.29681
EL CASAR,228,-3.70985,40.31862
CONDE DE CASAL,113,-3.67041,40.40697
GREGORIO MARAÑON,142,-3.69148,40.43825
TRIBUNAL,10,-3.7011,40.42619
BARAJAS,160,-3.58253,40.47577
CHAMARTIN,261,-3.68259,40.47203
PITIS,154,-3.72589,40.49511
ATOCHA-RENFE,16,-3.68938,40.40659
AVENIDA DE GUADALAJARA,324,-3.61206,40.42239
SANTO DOMINGO,37,-3.70796,40.42132
PEÑAGRANDE,150,-3.71582,40.47592
CARABANCHEL ALTO,255,-3.75191,40.372
CHUECA,86,-3.69762,40.42293
IGLESIA,8,-3.69898,40.43492
LA ELIPA,260,-3.65052,40.42662
DELICIAS,44,-3.6942,40.3999
RONDA DE LA COMUNICACION,277,-3.66277,40.51553
VILLAVERDE BAJO-CRUCE,271,-3.69265,40.35089
PARQUE LISBOA,210,-3.8212,40.34969
MARQUES DE VADILLO,94,-3.71596,40.39736
MENDEZ ALVARO,111,-3.67814,40.39538
HOSPITAL INFANTA SOFÍA,284,-3.61145,40.55977
ASCAO,136,-3.64106,40.43021
ATOCHA,15,-3.69249,40.40885
LA GAVIA,293,-3.61346,40.37019
ALUCHE,100,-3.7608,40.38563
JUAN DE LA CIERVA,227,-3.72224,40.3118
SANTIAGO BERNABEU,192,-3.69038,40.45159
