v1,v2,edge_name,edge_color
BATAN,LAGO,10,#005AA9
BATAN,CASA DE CAMPO,10,#005AA9
SAN CIPRIANO,VICALVARO,9,#A60084
SAN CIPRIANO,PUERTA DE ARGANDA,9,#A60084
CALLAO,SOL,3,#FFD000
CALLAO,PLAZA DE ESPAÑA,3,#FFD000
CALLAO,GRAN VIA,5,#8FD400
CALLAO,OPERA,5,#8FD400
LAS TABLAS,RONDA DE LA COMUNICACION,10,#005AA9
LAS TABLAS,MONTECARMELO,10,#005AA9
SANTIAGO BERNABEU,CUZCO,10,#005AA9
SANTIAGO BERNABEU,NUEVOS MINISTERIOS,10,#005AA9
ARROYO CULEBRO,CONSERVATORIO,12,#A49800
ARROYO CULEBRO,PARQUE DE LOS ESTADOS,12,#A49800
CANAL,QUEVEDO,2,#ED1C24
CANAL,CUATRO CAMINOS,2,#ED1C24
CANAL,ALONSO CANO,7,#EE7518
CANAL,ISLAS FILIPINAS,7,#EE7518
PUERTA DEL SUR,PARQUE LISBOA,12,#A49800
PUERTA DEL SUR,SAN NICASIO,12,#A49800
PUERTA DEL SUR,JOAQUIN VILUMBRALES,10,#005AA9
ALAMEDA DE OSUNA,EL CAPRICHO,5,#8FD400
LAGO,PRINCIPE PIO,10,#005AA9
LAGO,BATAN,10,#005AA9
REYES CATOLICOS,HOSPITAL INFANTA SOFÍA,10,#005AA9
REYES CATOLICOS,BAUNATAL,10,#005AA9
MANUEL DE FALLA,BAUNATAL,10,#005AA9
MANUEL DE FALLA,MARQUES DE LA VALDAVIA,10,#005AA9
ALTO DE EXTREMADURA,PUERTA DEL ANGEL,6,#98989B
ALTO DE EXTREMADURA,LUCERO,6,#98989B
ALONSO MARTINEZ,BILBAO,4,#B65518
ALONSO MARTINEZ,COLON,4,#B65518
ALONSO MARTINEZ,RUBEN DARIO,5,#8FD400
ALONSO MARTINEZ,CHUECA,5,#8FD400
ALONSO MARTINEZ,GREGORIO MARAÑON,10,#005AA9
ALONSO MARTINEZ,TRIBUNAL,10,#005AA9
GETAFE CENTRAL,JUAN DE LA CIERVA,12,#A49800
GETAFE CENTRAL,ALONSO DE MENDOZA,12,#A49800
CIUDAD UNIVERSITARIA,METROPOLITANO,6,#98989B
CIUDAD UNIVERSITARIA,MONCLOA,6,#98989B
ALUCHE,EUGENIA DE MONTIJO,5,#8FD400
ALUCHE,EMPALME,5,#8FD400
SAN FRANCISCO,PAN BENDITO,11,#009B3A
SAN FRANCISCO,CARABANCHEL ALTO,11,#009B3A
AVENIDA DE GUADALAJARA,LAS ROSAS,2,#ED1C24
AVENIDA DE GUADALAJARA,ALSACIA,2,#ED1C24
CASA DE CAMPO,CAMPAMENTO,5,#8FD400
CASA DE CAMPO,BATAN,10,#005AA9
CASA DE CAMPO,COLONIA JARDIN,10,#005AA9
ASCAO,GARCIA NOBLEJAS,7,#EE7518
ASCAO,PUEBLO NUEVO,7,#EE7518
VENTURA RODRIGUEZ,PLAZA DE ESPAÑA,3,#FFD000
VENTURA RODRIGUEZ,ARGÜELLES,3,#FFD000
LOS ESPARTALES,EL BERCIAL,12,#A49800
LOS ESPARTALES,EL CASAR,12,#A49800
SANTO DOMINGO,OPERA,2,#ED1C24
SANTO DOMINGO,NOVICIADO,2,#ED1C24
NUEVA NUMANCIA,PUENTE DE VALLECAS,1,#2DBEF0
NUEVA NUMANCIA,PORTAZGO,1,#2DBEF0
PITIS,LACOMA,7,#EE7518
PUEBLO NUEVO,CIUDAD LINEAL,5,#8FD400
PUEBLO NUEVO,QUINTANA,5,#8FD400
PUEBLO NUEVO,ASCAO,7,#EE7518
PUEBLO NUEVO,BARRIO DE LA CONCEPCION,7,#EE7518
BAUNATAL,REYES CATOLICOS,10,#005AA9
BAUNATAL,MANUEL DE FALLA,10,#005AA9
LEGAZPI,ALMENDRALES,3,#FFD000
LEGAZPI,DELICIAS,3,#FFD000
LEGAZPI,USERA,6,#98989B
LEGAZPI,ARGANZUELA-PLANETARIO,6,#98989B
AEROPUERTO T1 T2 T3,CAMPO DE LAS NACIONES,8,#EC82B1
AEROPUERTO T1 T2 T3,BARAJAS,8,#EC82B1
PINAR DE CHAMARTIN,MANOTERAS,4,#B65518
PINAR DE CHAMARTIN,BAMBU,1,#2DBEF0
HORTALEZA,PARQUE DE SANTA MARIA,4,#B65518
HORTALEZA,MANOTERAS,4,#B65518
PUERTA DEL ANGEL,PRINCIPE PIO,6,#98989B
PUERTA DEL ANGEL,ALTO DE EXTREMADURA,6,#98989B
HOSPITAL 12 DE OCTUBRE,SAN FERMIN-ORCASUR,3,#FFD000
HOSPITAL 12 DE OCTUBRE,ALMENDRALES,3,#FFD000
NOVICIADO,SANTO DOMINGO,2,#ED1C24
NOVICIADO,SAN BERNARDO,2,#ED1C24
PARQUE DE LOS ESTADOS,ARROYO CULEBRO,12,#A49800
PARQUE DE LOS ESTADOS,FUENLABRADA CENTRAL,12,#A49800
ALVARADO,ESTRECHO,1,#2DBEF0
ALVARADO,CUATRO CAMINOS,1,#2DBEF0
RUBEN DARIO,NUÑEZ DE BALBOA,5,#8FD400
RUBEN DARIO,ALONSO MARTINEZ,5,#8FD400
BARRIO DE LA CONCEPCION,PUEBLO NUEVO,7,#EE7518
BARRIO DE LA CONCEPCION,PARQUE DE LAS AVENIDAS,7,#EE7518
VISTA ALEGRE,OPORTO,5,#8FD400
VISTA ALEGRE,CARABANCHEL,5,#8FD400
BANCO DE ESPAÑA,RETIRO,2,#ED1C24
BANCO DE ESPAÑA,SEVILLA,2,#ED1C24
CARPETANA,LAGUNA,6,#98989B
CARPETANA,OPORTO,6,#98989B
EL CARRASCAL,JULIAN BESTEIRO,12,#A49800
EL CARRASCAL,EL BERCIAL,12,#A49800
HOSPITAL DE FUENLABRADA,PARQUE EUROPA,12,#A49800
HOSPITAL DE FUENLABRADA,LORANCA,12,#A49800
LA ALMUDENA,ALSACIA,2,#ED1C24
LA ALMUDENA,LA ELIPA,2,#ED1C24
CANILLEJAS,EL CAPRICHO,5,#8FD400
CANILLEJAS,TORRE ARIAS,5,#8FD400
ARGANZUELA-PLANETARIO,LEGAZPI,6,#98989B
ARGANZUELA-PLANETARIO,MENDEZ ALVARO,6,#98989B
MENDEZ ALVARO,ARGANZUELA-PLANETARIO,6,#98989B
MENDEZ ALVARO,PACIFICO,6,#98989B
COLON,ALONSO MARTINEZ,4,#B65518
COLON,SERRANO,4,#B65518
AVENIDA DE AMERICA,DIEGO DE LEON,4,#B65518
AVENIDA DE AMERICA,PROSPERIDAD,4,#B65518
AVENIDA DE AMERICA,CRUZ DEL RAYO,9,#A60084
AVENIDA DE AMERICA,NUÑEZ DE BALBOA,9,#A60084
AVENIDA DE AMERICA,CARTAGENA,7,#EE7518
AVENIDA DE AMERICA,GREGORIO MARAÑON,7,#EE7518
AVENIDA DE AMERICA,DIEGO DE LEON,6,#98989B
AVENIDA DE AMERICA,REPUBLICA ARGENTINA,6,#98989B
DIEGO DE LEON,LISTA,4,#B65518
DIEGO DE LEON,AVENIDA DE AMERICA,4,#B65518
DIEGO DE LEON,VENTAS,5,#8FD400
DIEGO DE LEON,NUÑEZ DE BALBOA,5,#8FD400
DIEGO DE LEON,MANUEL BECERRA,6,#98989B
DIEGO DE LEON,AVENIDA DE AMERICA,6,#98989B
ESTADIO OLIMPICO,BARRIO DEL PUERTO,7,#EE7518
ESTADIO OLIMPICO,LAS MUSAS,7,#EE7518
QUINTANA,PUEBLO NUEVO,5,#8FD400
QUINTANA,EL CARMEN,5,#8FD400
PIO XII,DUQUE DE PASTRANA,9,#A60084
PIO XII,COLOMBIA,9,#A60084
