Source,Target,Type,Weight,edge_name,edge_color,travel_seconds
39,40,Undirected,0.005235602094240838,2,#ED1C24,191
40,39,Undirected,0.005235602094240838,2,#ED1C24,191
34,12,Undirected,0.005,2,#ED1C24,200
12,34,Undirected,0.005,2,#ED1C24,200
37,50,Undirected,0.004901960784313725,2,#ED1C24,204
50,37,Undirected,0.004901960784313725,2,#ED1C24,204
53,52,Undirected,0.004878048780487805,3,#FFD000,205
53,52,Undirected,0.004878048780487805,6,#98989B,205
52,53,Undirected,0.004878048780487805,3,#FFD000,205
52,53,Undirected,0.004878048780487805,6,#98989B,205
51,50,Undirected,0.004784688995215311,3,#FFD000,209
50,51,Undirected,0.004784688995215311,3,#FFD000,209
59,60,Undirected,0.004784688995215311,4,#B65518,209
60,59,Undirected,0.004784688995215311,4,#B65518,209
30,31,Undirected,0.004739336492890996,2,#ED1C24,211
31,30,Undirected,0.004739336492890996,2,#ED1C24,211
58,57,Undirected,0.004739336492890996,4,#B65518,211
57,58,Undirected,0.004739336492890996,4,#B65518,211
49,12,Undirected,0.0047169811320754715,3,#FFD000,212
12,49,Undirected,0.0047169811320754715,3,#FFD000,212
36,37,Undirected,0.004694835680751174,2,#ED1C24,213
9,39,Undirected,0.004694835680751174,4,#B65518,213
39,9,Undirected,0.004694835680751174,4,#B65518,213
37,36,Undirected,0.004694835680751174,2,#ED1C24,213
46,47,Undirected,0.004672897196261682,3,#FFD000,214
47,46,Undirected,0.004672897196261682,3,#FFD000,214
51,52,Undirected,0.004651162790697674,3,#FFD000,215
49,11,Undirected,0.004651162790697674,5,#8FD400,215
52,51,Undirected,0.004651162790697674,3,#FFD000,215
57,10,Undirected,0.004651162790697674,10,#005AA9,215
11,49,Undirected,0.004651162790697674,5,#8FD400,215
10,57,Undirected,0.004651162790697674,10,#005AA9,215
34,33,Undirected,0.004608294930875576,2,#ED1C24,217
33,34,Undirected,0.004608294930875576,2,#ED1C24,217
132,286,Undirected,0.0045871559633027525,7,#EE7518,218
45,44,Undirected,0.0045871559633027525,3,#FFD000,218
44,45,Undirected,0.0045871559633027525,3,#FFD000,218
286,132,Undirected,0.0045871559633027525,7,#EE7518,218
9,57,Undirected,0.004545454545454545,4,#B65518,220
57,9,Undirected,0.004545454545454545,4,#B65518,220
