Label,Id
PLAZA DE CASTILLA,1
VALDEACEDERAS,2
TETUAN,3
ESTRECHO,4
ALVARADO,5
CUATRO CAMINOS,6
RIOS ROSAS,7
IGLESIA,8
BILBAO,9
TRIBUNAL,10
GRAN VIA,11
SOL,12
CANAL,41
TIRSO DE MOLINA,13
ANTON MARTIN,14
ATOCHA,15
ATOCHA RENFE,16
MENENDEZ PELAYO,17
PACIFICO,18
PUENTE DE VALLECAS,19
NUEVA NUMANCIA,20
PORTAZGO,21
BUENOS AIRES,22
ALTO DEL ARENAL,23
MIGUEL HERNANDEZ,24
SIERRA DE GUADALUPE,25
VILLA DE VALLECAS,26
CONGOSTO,27
VENTAS,28
MANUEL BECERRA,29
GOYA,30
PRINCIPE DE VERGARA,31
RETIRO,32
BANCO DE ESPAÑA,33
SEVILLA,34
OPERA,36
SANTO DOMINGO,37
SAN BERNARDO,39
QUEVEDO,40
LEGAZPI,43
DELICIAS,44
PALOS DE LA FRONTERA,45
ACACIAS,46
EMBAJADORES,46
LAVAPIES,47
CALLAO,49
NOVICIADO,50
PLAZA DE ESPAÑA,50
VENTURA RODRIGUEZ,51
ARGÜELLES,52
MONCLOA,53
ALONSO MARTINEZ,57
COLON,58
SERRANO,59
VELAZQUEZ,60
LISTA,62
DIEGO DE LEON,63
AVENIDA DE AMERICA,64
PROSPERIDAD,65
ALFONSO XIII,66
AVENIDA DE LA PAZ,67
ARTURO SORIA,68
ESPERANZA,69
MAR DE CRISTAL,71
SAN LORENZO,72
PARQUE DE SANTA MARIA,73
CANILLEJAS,74
TORRE ARIAS,75
SUANZES,76
CIUDAD LINEAL,77
PUEBLO NUEVO,78
QUINTANA,79
EL CARMEN,80
NUÑEZ DE BALBOA,83
RUBEN DARIO,84
CHUECA,86
LA LATINA,90
PUERTA DE TOLEDO,91
PIRAMIDES,93
MARQUES DE VADILLO,94
URGEL,95
OPORTO,96
CARABANCHEL,98
EUGENIA DE MONTIJO,99
ALUCHE,100
EMPALME,101
CAMPAMENTO,102
CASA DE CAMPO,103
LAGUNA,104
CARPETANA,105
OPAÑEL,107
PLAZA ELIPTICA,108
USERA,109
MENDEZ ALVARO,111
CONDE DE CASAL,113
SAINZ DE BARANDA,114
O'DONNELL,115
REPUBLICA ARGENTINA,119
NUEVOS MINISTERIOS,120
GUZMAN EL BUENO,122
METROPOLITANO,123
CIUDAD UNIVERSITARIA,124
PRINCIPE PIO,127
PUERTA DEL ANGEL,128
ALTO DE EXTREMADURA,129
LUCERO,130
LAS MUSAS,132
SAN BLAS,133
SIMANCAS,134
GARCIA NOBLEJAS,135
ASCAO,136
BARRIO DE LA CONCEPCION,138
CARTAGENA,140
ALONSO CANO,143
ISLAS FILIPINAS,145
FRANCOS RODRIGUEZ,147
VALDEZARZA,148
ANTONIO MACHADO,149
PEÑAGRANDE,150
AVDA. DE LA ILUSTRACION,151
LACOMA,152
PITIS,154
COLOMBIA,156
CAMPO DE LAS NACIONES,158
AEROPUERTO T1 T2 T3,159
BARAJAS,160
HERRERA ORIA,161
BARRIO DEL PILAR,162
VENTILLA,163
DUQUE DE PASTRANA,165
PIO XII,166
CONCHA ESPINA,168
CRUZ DEL RAYO,169
IBIZA,173
ESTRELLA,175
VINATEROS,176
ARTILLEROS,177
PAVONES,178
VALDEBERNARDO,179
VICALVARO,180
SAN CIPRIANO,181
PUERTA DE ARGANDA,182
RIVAS URBANIZACIONES,183
RIVAS VACIAMADRID,184
LA POVEDA,185
ARGANDA DEL REY,186
FUENCARRAL,187
BEGOÑA,188
CUZCO,191
SANTIAGO BERNABEU,192
LAGO,199
BATAN,200
COLONIA JARDIN,202
CUATRO VIENTOS,203
JOAQUIN VILUMBRALES,204
PUERTA DEL SUR,205
ABRANTES,207
PAN BENDITO,208
PARQUE LISBOA,210
ALCORCON CENTRAL,211
PARQUE OESTE,212
UNIVERSIDAD REY JUAN CARLOS,213
MOSTOLES CENTRAL,214
PRADILLO,215
HOSPITAL DE MOSTOLES,216
MANUELA MALASAÑA,217
LORANCA,218
HOSPITAL DE FUENLABRADA,219
PARQUE EUROPA,220
FUENLABRADA CENTRAL,221
PARQUE DE LOS ESTADOS,222
ARROYO CULEBRO,223
CONSERVATORIO,224
ALONSO DE MENDOZA,225
GETAFE CENTRAL,226
JUAN DE LA CIERVA,227
EL CASAR,228
LOS ESPARTALES,229
EL BERCIAL,230
EL CARRASCAL,231
JULIAN BESTEIRO,232
CASA DEL RELOJ,233
HOSPITAL SEVERO OCHOA,234
LEGANES CENTRAL,235
SAN NICASIO,236
ALAMEDA DE OSUNA,252
EL CAPRICHO,253
SAN FRANCISCO,254
CARABANCHEL ALTO,255
LA PESETA,256
AVIACION ESPAÑOLA,257
PINAR DEL REY,258
ARGANZUELA-PLANETARIO,259
LA ELIPA,260
CHAMARTIN,261
BAMBU,262
PINAR DE CHAMARTIN,263
HORTALEZA,264
MANOTERAS,265
ALMENDRALES,267
HOSPITAL 12 DE OCTUBRE,268
SAN FERMIN-ORCASUR,269
CIUDAD DE LOS ANGELES,270
VILLAVERDE BAJO CRUCE,271
SAN CRISTOBAL,272
VILLAVERDE ALTO,273
TRES OLIVOS,274
MONTECARMELO,275
LAS TABLAS,276
RONDA DE LA COMUNICACION,277
LA GRANJA,278
LA MORALEJA,279
MARQUES DE LA VALDAVIA,280
MANUEL DE FALLA,281
BAUNATAL,282
REYES CATOLICOS,283
HOSPITAL INFANTA SOFIA,284
AEROPUERTO T4,285
ESTADIO OLIMPICO,286
BARRIO DEL PUERTO,287
COSLADA CENTRAL,288
LA RAMBLA,289
SAN FERNANDO,290
JARAMA,291
HENARES,292
LA GAVIA,293
LAS SUERTES,294
VALDECARROS,295
HOSPITAL DEL HENARES,296
RIVAS FUTURA,300
LA FORTUNA,305
LA ALMUDENA,322
ALSACIA,323
AVENIDA DE GUADALAJARA,324
LAS ROSAS,325
MIRASIERRA,326
PACO DE LUCIA,345
GREGORIO MARAÑON,142
CANILLAS,70
PARQUE DE LAS AVENIDAS,139
VISTA ALEGRE,97



